Metric,contrast,Estimate,CI_95
Natural seed-set,elevation2300 - elevation2800,-0.36,"[-0.6, -0.15]"
Natural seed-set,elevation2300 - elevation3400,0.2,"[-0.29, 0.7]"
Natural seed-set,elevation2300 - elevation3800,0.94,"[0.39, 1.54]"
Natural seed-set,elevation2800 - elevation3400,0.55,"[0.1, 1.03]"
Natural seed-set,elevation2800 - elevation3800,1.3,"[0.76, 1.86]"
Natural seed-set,elevation3400 - elevation3800,0.75,"[0.26, 1.22]"
Pollen limitation,elevation2300 - elevation2800,0.23,"[-0.27, 0.71]"
Pollen limitation,elevation2300 - elevation3400,-0.5,"[-1.35, 0.32]"
Pollen limitation,elevation2300 - elevation3800,-2.68,"[-3.6, -1.86]"
Pollen limitation,elevation2800 - elevation3400,-0.73,"[-1.55, 0.04]"
Pollen limitation,elevation2800 - elevation3800,-2.91,"[-3.79, -2.09]"
Pollen limitation,elevation3400 - elevation3800,-2.18,"[-3.08, -1.3]"
Autogamy,elevation2300 - elevation2800,0.11,"[-0.35, 0.62]"
Autogamy,elevation2300 - elevation3400,0.19,"[-0.98, 1.37]"
Autogamy,elevation2300 - elevation3800,0.98,"[-0.05, 2.06]"
Autogamy,elevation2800 - elevation3400,0.08,"[-1.04, 1.23]"
Autogamy,elevation2800 - elevation3800,0.87,"[-0.12, 1.87]"
Autogamy,elevation3400 - elevation3800,0.8,"[-0.3, 1.96]"
Morphospecies richness,elevation2300 - elevation2800,0.62,"[0.28, 0.96]"
Morphospecies richness,elevation2300 - elevation3400,0.77,"[0.29, 1.23]"
Morphospecies richness,elevation2300 - elevation3800,2.63,"[2.13, 3.14]"
Morphospecies richness,elevation2800 - elevation3400,0.15,"[-0.23, 0.51]"
Morphospecies richness,elevation2800 - elevation3800,2.01,"[1.57, 2.45]"
Morphospecies richness,elevation3400 - elevation3800,1.86,"[1.36, 2.35]"
Functional group richness,elevation2300 - elevation2800,0.32,"[0.05, 0.57]"
Functional group richness,elevation2300 - elevation3400,0.53,"[0.15, 0.92]"
Functional group richness,elevation2300 - elevation3800,1.38,"[0.99, 1.74]"
Functional group richness,elevation2800 - elevation3400,0.21,"[-0.12, 0.53]"
Functional group richness,elevation2800 - elevation3800,1.06,"[0.73, 1.4]"
Functional group richness,elevation3400 - elevation3800,0.85,"[0.46, 1.24]"
Visitation frequency,elevation2300 - elevation2800,-0.35,"[-0.7, -0.01]"
Visitation frequency,elevation2300 - elevation3400,-0.22,"[-0.68, 0.22]"
Visitation frequency,elevation2300 - elevation3800,1.87,"[1.42, 2.33]"
Visitation frequency,elevation2800 - elevation3400,0.14,"[-0.2, 0.5]"
Visitation frequency,elevation2800 - elevation3800,2.22,"[1.79, 2.63]"
Visitation frequency,elevation3400 - elevation3800,2.09,"[1.61, 2.55]"
