Species,Elevation,Autogamy n,Autogamy mean,Geitonogamy n,Geitonogamy mean,Outcrossing n,Outcrossing mean,Control n,Control mean
<i>Clematis simensis</i> (Ranunculaceae),2300,32,0.5,24,2.9,34,11.1,25,6.5
,2800,18,2.4,20,5.3,19,16.7,22,8.5
<i>Crepis hypochoeridea</i> (Asteraceae),2800,9,40.7,7,51.1,7,53.7,7,49.3
,3400,4,43,4,53.8,5,46.2,9,41.1
,3800,14,14.6,19,37.9,21,44.9,28,27.5
<i>Geranium arabicum</i> (Geraniaceae),2300,19,1.3,0,0,17,1.5,18,2.7
,2800,9,3,0,0,10,4.5,18,4.3
<i>Hypericum revolutum</i> (Hypericaceae),2300,27,80.3,30,169.6,34,355.2,33,226.6
,2800,6,221.8,11,237.7,15,405.7,11,350
,3800,14,0,9,0,12,0,11,0
<i>Lactuca inermis</i> (Asteraceae),2300,25,2.5,0,0,30,5.1,25,3.6
,2800,12,3.5,1,4,9,8.7,17,6.6
,3400,9,0.2,0,0,10,3.7,9,1
,3800,10,0,3,0,1,0,11,0
<i>Senecio burtonii</i> (Asteraceae),2800,19,0,17,1.2,15,14.4,19,2.9
,3400,2,0,5,0.8,1,17,5,5.4
<i>Senecio purpureus</i> (Asteraceae),2300,25,0.6,20,4.3,21,19.8,28,11.2
,2800,31,1.5,25,5.6,27,25.3,35,18.3
,3400,6,0,8,2.8,7,22.4,6,6
,3800,38,0.1,32,1.1,22,5.2,34,0.3
